A,D,expected_loss,expected_damage,expected_loss_for_win,expected_damage_despite_loss
10,1,0.5151788153838409,0.9999560648268755,4.3935173124594356E-4,0.9999560648268755
10,2,0.7636768322160464,1.9999348725668977,6.512743310233986E-4,1.9998697451337955
10,3,1.1444614084212306,2.99988166631212,0.0011833368788032612,2.9996449989363594
10,4,1.4596641965565123,3.999792284502912,0.0020771549708842045,3.9991691380116468
10,5,1.807449888954819,4.999633398812775,0.0036660118722559435,4.998166994063872
10,6,2.1391710513222795,5.9993535407653225,0.006464592346785024,5.996121244591929
10,7,2.479030353113169,6.99885988506326,0.01140114936740263,6.992019195442819
10,8,2.815153243083374,7.997989303489844,0.020106965101566916,7.983914427918747
10,9,3.1536586410741236,8.996453941105734,0.035460588942672074,8.968085469951596
10,10,3.493658656694733,9.990747751910472,0.07387061408543989,9.926129385914562
9,1,0.5152318099524731,0.9998707789025748,0.0011629898768274977,0.9998707789025748
9,2,0.7637553888707247,1.9998084487261696,0.0017239614644737019,1.9996168974523392
9,3,1.1446041424153832,2.999651959741529,0.0031323623262439265,2.9989558792245856
9,4,1.459914742813271,3.9993890720673875,0.005498351393517013,3.9975562882695486
9,5,1.807892082996526,4.998921761214043,0.009704149073618674,4.994608806070213
9,6,2.1399508099039264,5.99809864930977,0.017112156212078,5.988591895858615
9,7,2.4804055587847684,6.996646720774295,0.0301795130313599,6.976527045420054
9,8,2.817578543511888,7.994086186734834,0.053224319386500664,7.952689493878667
9,9,3.1613941431059125,8.983621145594267,0.11410278463404055,8.88589721536596
9,10,3.5003334941564166,9.971124979287646,0.17529170635291172,9.805231437385656
8,1,0.515387676330803,0.9996199379487493,0.0030404964100065293,0.9996199379487493
8,2,0.7639864378550725,1.9994366139004989,0.004507088796009678,1.9988732278009977
8,3,1.1450239482805387,2.9989763521809665,0.008189182552271702,2.9969290565428985
8,4,1.4606516435684438,3.998203153139374,0.014374774885011795,3.9928126125574943
8,5,1.8091926537074283,4.996828709453067,0.02537032437547366,4.9841435472653295
8,6,2.1422442174970064,5.994407792087557,0.04473766329955033,5.9664467525253375
8,7,2.4844502813482943,6.9901374140420405,0.078900687663686,6.930961898294275
8,8,2.831573384818785,7.970802325575825,0.17483905850173906,7.825160941498262
8,9,3.1722510646319844,8.948528235450729,0.262596902887491,8.704578484251574
8,10,3.5367259114279213,9.882314238869323,0.5056136464330977,9.36798294195863
7,1,0.5158461068553025,0.9988821704374977,0.007824806937516804,0.9988821704374977
7,2,0.7646659936913895,1.9983429820602905,0.011599125577966081,1.9966859641205812
7,3,1.1462586714133487,2.996989271120489,0.021075102156581583,2.990967813361465
7,4,1.4628189987307165,3.9947151562922754,0.036993905954074466,3.9788606251691006
7,5,1.8130178616806711,4.990672674861958,0.0652912759662925,4.953363374309792
7,6,2.148989533947242,5.983552329669283,0.11513369231501921,5.901313978015699
7,7,2.5099608193259315,6.947571549008725,0.26501593316868416,6.734984066831316
7,8,2.8491343751651392,7.9075795200116605,0.38795514202483117,7.556622694828765
7,9,3.230685540789293,8.795230724967684,0.7272456135698525,8.06496992541019
7,10,3.557644677567853,9.679602062145614,0.936946420909392,8.661505112986584
6,1,0.51719443192736,0.9967122659926401,0.019726404044160005,0.9967122659926401
6,2,0.7666646873276161,1.995126417824384,0.029241493053696006,1.990252835648768
6,3,1.1498902100392603,2.9911449150602603,0.053130509638440966,2.97343474518078
6,4,1.469193572737401,3.9844563420361037,0.093261947783381,3.937825368144413
6,5,1.8242684733666792,4.972566690770466,0.16459985537720798,4.8628334538523275
6,6,2.195841190341902,5.905154568010302,0.39563173518605965,5.604368264813941
6,7,2.538165806204975,6.832812627967651,0.5626680793139143,6.343553907467101
6,8,2.9399701873087922,7.645308009244757,1.0132614127860293,6.6489847829519615
6,9,3.2549087846943334,8.455243294086964,1.2661916164372036,7.100712575344195
6,10,3.647331609604059,9.115499899459609,1.8489211488861934,6.918464751856345
5,1,0.5211600939040001,0.9903301940960001,0.04834902952000001,0.9903301940960001
5,2,0.7725431980224,1.9856659347776,0.071670326112,1.9713318695552
5,3,1.1605712059978242,2.9739556325301764,0.13022183734912002,2.921866897590528
5,4,1.487942319815885,3.9542833589297155,0.228583205351424,3.817133435718861
5,5,1.9109547187780773,4.827111552302371,0.577668335128146,4.422331664871854
5,6,2.240731435347424,5.6952768836220224,0.7953481333446084,5.04558223998647
5,7,2.6722876128952553,6.389585999031044,1.3509062039248407,5.108731314505223
5,8,2.9602748905092575,7.083667124236128,1.6321234277405787,5.388602515615075
5,9,3.343465072815274,7.594101442210731,2.2260970372756663,4.993025332903802
5,10,3.57047415939525,8.106746218420149,2.502330641642248,4.995338716715505
4,1,0.5328238056000001,0.9715593944,0.11376242240000001,0.9715593944
4,2,0.78983293536,1.95784098464,0.16863606143999998,1.91568196928
4,3,1.1919858999936,2.9233989192064,0.30640432317440003,2.7701967576192
4,4,1.64942738214912,3.68259833049088,0.8144100060364801,3.18558999396352
4,5,1.9815715172990978,4.440381622208102,1.0824934341115904,3.646883207360512
4,6,2.4215358578994617,4.959005295811643,1.6894963646052066,3.46575545309219
4,7,2.668397020985982,5.4817654562690565,1.9644932596851632,3.5621367955509644
4,8,3.0039889222603717,5.811243624387566,2.469916762109437,3.060166475781127
4,9,3.1709877256005115,6.145331993648868,2.6869800340998737,2.954294923275284
4,10,3.39834791742362,6.3449851884391295,3.045577925596763,2.386055186008093
3,1,0.56712884,0.91635116,0.25094651999999995,0.91635116
3,2,0.8406851039999998,1.876002896,0.37199131199999996,1.7520057919999998
3,3,1.49537747264,2.41172460736,1.0874501779199999,1.9125498220800001
3,4,1.758624029568,2.9650312664319998,1.3846977527039999,2.153736329728
3,5,2.181388643558528,3.246897864857472,1.913019347635584,1.81163442060736
3,6,2.3443205325508525,3.5383654199480916,2.124369816020557,1.7512603679588858
3,7,2.5771966998853943,3.681700392192442,2.4284621506923423,1.3335883150512011
3,8,2.6656007999830638,3.8301117605940775,2.548499073357192,1.2040024710474888
3,9,2.786447245996975,3.902000695918446,2.709076207723932,0.8727713768282042
3,10,2.832039814210112,3.9764865406779006,2.7721226615789285,0.7595911280702379
2,1,0.6680259999999999,0.7539739999999999,0.49205199999999993,0.7539739999999999
2,2,1.408892,0.915108,1.273784,0.726216
2,3,1.6619924959999999,1.068519504,1.587552992,0.6186705119999999
2,4,1.856510748272,1.100560435728,1.816989496544,0.366021006912
2,5,1.9207202656450881,1.134345063090912,1.901534035290176,0.24616491177455999
2,6,1.9667220886515164,1.1413473238554277,1.9571488813030329,0.1285533560909019
2,7,1.9817813806306372,1.1489732386901266,1.9772640801732744,0.07957571939353993
2,8,1.9923763548686892,1.1505502011726088,1.9901573822493785,0.039370471002486175
2,9,1.9958369393224458,1.152283943300076,1.9947977793568274,0.023409992894276522
2,10,1.998259468182881,1.1526422292665517,1.997751201698498,0.011243991507511018
1,1,0.5830,0.4170,0.5830,0.4170
1,2,0.894082,0.35991799999999996,0.894082,0.211836
1,3,0.9730968280000001,0.345419172,0.9730968280000001,0.080709516
1,4,0.993166594312,0.34173646968800003,0.993166594312,0.027333622752
1,5,0.998264314955248,0.340801063300752,0.998264314955248,0.00867842522376
1,6,0.999559135998633,0.34056347007839105,0.999559135998633,0.002645184008202048
1,7,0.9998880205436528,0.34050312139991135,0.9998880205436528,7.838561944305402E-4
1,8,0.9999715572180878,0.3404877928355775,0.9999715572180878,2.2754225529755112E-4
1,9,0.9999927755333944,0.3404838993802367,0.9999927755333944,6.502019945127524E-5
1,10,0.9999981649854821,0.34048291044258017,0.9999981649854821,1.8350145178471013E-5